year,Base case cost,Modeled residential ashp
2017,478243.5271,2338818.92856
2018,507587.610603,2239129.10815
2019,554244.731618,2121323.83654
2020,573383.075942,2042932.83306
2021,587992.698309,1972069.25543
2022,596642.572023,1910933.3472
2023,603772.037642,1852969.4284
2024,607933.817307,1800362.66524
2025,612662.172897,1745653.45111
2026,618776.864486,1689638.39835
2027,623937.723906,1633611.45226
2028,626139.022953,1582858.25064
2029,632022.135471,1529371.72433
2030,634994.441104,1481165.08272
2031,645350.130746,1433885.07144
