year,Base case cost,Modeled non-residential ashp
2017,672455.239498,768894.060056
2018,739609.36008,834866.684538
2019,824689.631556,918356.480496
2020,883074.92884,975969.2611
2021,934605.874443,1026954.90081
2022,980230.69281,1072216.18192
2023,1029383.19641,1121096.03257
2024,1077411.37312,1168896.99849
2025,1121691.53028,1212904.50271
2026,1175337.78773,1266232.66506
2027,1227801.01747,1318423.24185
2028,1278869.89654,1369264.91013
2029,1335263.35227,1425340.27076
2030,1385501.40853,1475396.55839
2031,1443655.88881,1533232.94356
