year,Base case cost,Modeled non-residential ashp
2017,18539.0262116,34116.4893022
2018,20706.660126,31244.183985
2019,23713.3781364,27514.5391377
2020,25181.7753043,25397.5129819
2021,26160.7067496,23802.9352369
2022,26929.8671708,22439.8577458
2023,27489.2565681,21307.9633616
2024,27908.7986161,20334.2864424
2025,28468.1880134,19227.9011594
2026,29097.5010853,18061.1679852
2027,29656.8904826,16979.1101167
2028,30076.4325306,16054.101673
2029,30705.7456025,14922.5883843
2030,31055.3639758,14092.892452
2031,31754.6007224,12910.8489553
