year,Base case cost,Modeled residential ashp
2017,114594.608422,236320.789201
2018,121566.790816,243584.467976
2019,137252.520382,260309.428521
2020,141640.083058,264226.966364
2021,144808.878325,266613.996807
2022,147002.659663,267783.8177
2023,148465.180555,268049.749298
2024,156652.151851,275007.590729
2025,158437.85804,275742.235755
2026,160223.564229,276513.081368
2027,161754.169535,276993.678602
2028,170548.011183,284772.035759
2029,172413.149188,285725.90334
2030,173478.942333,285701.851378
2031,175344.080338,286720.795796
