year,Base case cost,Modeled transmission and interties
2021,195431.957775,352068.849671
2022,202225.047217,351289.768552
2023,206405.40995,349296.556852
2024,210063.227341,347009.261966
2025,214766.135416,345295.741494
2026,219991.588833,344458.002639
2027,224694.496907,342961.382685
2028,228352.314299,341108.010864
2029,233577.767715,340227.393333
2030,236713.039765,338166.875875
2031,242461.038523,337892.678192
2032,248209.037281,337713.661529
2033,253957.036039,337627.595043
2034,259160.579798,337612.515948
2035,263332.178668,336473.049836
2036,269589.576973,337053.319215
2037,273239.725984,335676.66525
2038,279497.124289,336424.028691
2039,284190.173018,336383.284194
2040,290969.021182,337698.2932
