year,Base case cost,Modeled non-residential ashp
2017,154554.777958,193463.22814
2018,168882.640224,203429.618118
2019,188941.647396,217642.66131
2020,198766.467235,224312.16238
2021,205316.347128,228576.960653
2022,210638.124541,231948.254587
2023,213913.064488,233821.121839
2024,216778.636941,235404.471725
2025,220462.94438,237604.916705
2026,224556.619314,240119.860061
2027,228240.926753,242344.407899
2028,231106.499206,243975.977059
2029,235200.174139,246525.81522
2030,237656.379099,247877.527867
2031,242159.421526,250751.591498
