year,Base case cost,Modeled residential ashp
2017,3498.00539437,47948.3771838
2018,3765.4981848,48159.0729633
2019,4151.87665987,48710.8805445
2020,4340.1123272,48726.9350019
2021,4468.90515223,48590.4538952
2022,4567.97655609,48383.3390033
2023,4637.32653879,48105.3197609
2024,4686.86224072,47783.5248242
2025,4756.21222343,47527.2679711
2026,4835.46934652,47308.9042616
2027,3600.32071837,45768.9030632
2028,3643.95398647,45500.211676
2029,3702.13167726,45290.8154124
2030,3731.22052266,44991.9368948
2031,3796.6704248,44826.1745327
