year,Base case cost,Modeled non-residential ashp
2017,829848.372576,1037244.28163
2018,915710.55401,1104917.0784
2019,1038779.68073,1203578.42203
2020,1096021.13502,1247648.26959
2021,1138952.22574,1279913.68834
2022,1167572.95288,1300372.77019
2023,1190469.5346,1316155.15536
2024,1207641.97089,1327259.02417
2025,1227676.47989,1340814.10311
2026,1256297.20703,1361572.99249
2027,1276331.71603,1375270.99062
2028,1296366.22503,1389037.94602
2029,1319262.80675,1405249.41031
2030,1333573.17032,1414395.13389
2031,1362193.89747,1435490.9181
