year,Base case cost,Modeled residential ashp
2017,791586.270896,619552.842436
2018,859077.932932,676842.680136
2019,953343.561895,756982.70617
2020,1014391.98606,811360.706732
2021,1059380.39503,852032.959249
2022,1107211.87677,896333.040255
2023,1149700.55804,936467.454376
2024,1190685.32881,975490.335846
2025,1234448.31578,1016899.05566
2026,1281155.73273,1060859.8276
2027,1326303.83458,1103653.6623
2028,1376075.94269,1151463.88111
2029,1425021.7053,1197662.99871
2030,1473677.73507,1244749.51704
2031,1524086.17899,1292411.31595
