year,Base case cost,Buckland (hunter creek)
2021,640896.828765,3022350.32095
2022,659516.833387,2988863.10419
2023,675290.668445,2954576.15599
2024,688409.693426,2919353.11203
2025,701855.725123,2885246.85704
2026,717615.026549,2853616.25338
2027,728767.974116,2819322.22441
2028,737851.493998,2783974.56212
2029,750035.521999,2752418.47542
2030,753244.224933,2713758.55647
2031,766816.214772,2685204.28177
2032,781831.07128,2658715.81442
2033,795462.810495,2632047.35488
2034,808231.413464,2605095.90145
2035,815775.983222,2574984.5
2036,827515.928029,2548705.04437
2037,833082.309012,2518276.25132
2038,844244.138243,2493341.47084
2039,852978.043537,2467062.22441
2040,866827.787228,2445760.25909
2041,864316.698621,2412153.85361
2042,861303.392292,2378774.0269
2043,859294.521406,2347110.35068
2044,856783.432799,2315639.49143
2045,852765.691028,2283340.72369
2046,852263.473306,2255220.31652
2047,850254.60242,2226240.55761
2048,849752.384699,2199399.58182
2049,846739.07837,2170664.83216
2050,847241.296092,2146048.45289
2051,847241.296092,2121518.57306
2052,847241.296092,2097563.61218
2053,847241.296092,2074170.09589
2054,847241.296092,2051324.86499
2055,847241.296092,2029015.0692
2056,847241.296092,2007228.15925
2057,847241.296092,1985951.87995
2058,847241.296092,1965174.26363
2059,847241.296092,1944883.62254
2060,847241.296092,1925068.54329
2061,847241.296092,1905717.88012
2062,847241.296092,1886820.74795
2063,847241.296092,1868366.51738
2064,847241.296092,1850344.80788
2065,847241.296092,1832745.48236
2066,847241.296092,1815558.64063
2067,847241.296092,1798774.61581
2068,847241.296092,1782383.96644
2069,847241.296092,1766377.47308
2070,847241.296092,1750746.13185
