year,Base case cost,Modeled non-residential ashp
2017,1339570.2763,1385729.63171
2018,1415146.98571,1459503.43585
2019,1523677.38373,1566472.70899
2020,1571464.02373,1612347.89578
2021,1613764.09115,1652671.85458
2022,1637824.65526,1674741.04014
2023,1665275.44268,1700200.83431
2024,1688513.53011,1721463.9977
2025,1704025.75892,1735066.84331
2026,1736390.03224,1765619.89342
2027,1751971.50694,1779385.91218
2028,1767537.23224,1793181.50065
2029,1785343.65694,1809278.92526
2030,1785849.47421,1808068.32264
2031,1805754.41421,1826366.56873
