year,Base case cost,Buckland/deering/noorvik wind farm construction,Modeled wind power
2017,472096.769526,796102.189412,
2018,521256.779125,828724.652636,
2019,587136.117274,875634.075368,763061.514299
2020,616952.670358,892393.784075,786369.843781
2021,640896.828765,905134.092978,804585.341933
2022,659516.833387,913683.24478,817963.74881
2023,675290.668445,920276.465329,828884.00043
2024,688409.693426,924862.453908,837438.46315
2025,701855.725123,929703.32378,846316.618249
2026,717615.026549,936304.297597,857309.143812
2027,728767.974116,939173.359993,864074.467523
2028,737851.493998,940128.007979,868857.333976
2029,750035.521999,944095.974488,876728.942435
2030,753244.224933,939952.157062,875998.261641
2031,766816.214772,945361.715226,885325.072764
2032,781831.07128,952116.55411,896077.151554
2033,795462.810495,957864.524773,905620.056411
2034,808231.413464,962645.242092,914278.561708
2035,815775.983222,963287.506075,918173.493034
2036,827515.928029,967299.090441,925948.947172
2037,833082.309012,,928007.884091
2038,844244.138243,,935440.782447
