year,Base case diesel consumed,Buckland/deering/noorvik wind farm construction,Modeled wind power
2017,136050.942226,107878.65518,
2018,136454.654221,108282.367174,
2019,137181.335812,109009.048765,125762.418558
2020,137100.593413,108928.306366,125681.676159
2021,137827.275003,109654.987956,126408.35775
2022,138553.956594,110381.669547,127135.03934
2023,139522.865381,111350.578334,128103.948128
2024,140491.774169,112319.487122,129072.856915
2025,141218.455759,113046.168712,129799.538505
2026,141541.425355,113369.138308,130122.508101
2027,141783.652552,113611.365505,130364.735298
2028,141622.167754,113449.880707,130203.2505
2029,141783.652552,113611.365505,130364.735298
2030,141056.970961,112884.683914,129638.053708
2031,141218.455759,113046.168712,129799.538505
2032,141379.940557,113207.65351,129961.023303
2033,141541.425355,113369.138308,130122.508101
2034,141299.198158,113126.911111,129880.280904
2035,141137.71336,112965.426313,129718.796106
2036,140734.001365,112561.714319,129315.084112
2037,140249.546972,,128830.629718
2038,140007.319775,,128588.402521
