year,Base case cost,Modeled transmission and interties
2021,1391455.88218,3170493.3796
2022,1444097.03738,3240168.68597
2023,1483928.01574,3294929.98262
2024,1519851.93125,3345242.8984
2025,1561081.11678,3401936.46592
2026,1607750.01531,3465171.09612
2027,1650251.92787,3523596.89394
2028,1688990.93034,3577814.76735
2029,1737810.16992,3643970.80543
2030,1773159.71507,3694517.62563
2031,1823607.95561,3762903.67291
2032,1880198.74728,3838735.85488
2033,1932512.01094,3909638.92916
2034,1990809.48175,3993173.58749
2035,2035146.54121,4049672.49065
2036,2095710.87031,4136383.91791
2037,2142074.28449,4195577.77473
2038,2205313.28231,4280390.5964
2039,2258772.29907,4353820.50401
2040,2324205.70536,4453095.61899
