year,Base case cost,Modeled transmission and interties
2021,460714.895111,1919182.78957
2022,471976.92979,1939015.77258
2023,478547.374288,1950867.79311
2024,485445.379771,1963294.91475
2025,493116.07426,1975264.51935
2026,501882.582247,1991544.65598
2027,509553.276735,2004914.57747
2028,516128.157725,2015374.28382
2029,524152.292735,2030764.73102
2030,529635.057303,2039720.57813
2031,538407.480613,2054610.43823
2032,548276.456836,2071011.21539
2033,557048.880145,2087302.33727
2034,567300.134086,2104372.50624
2035,574657.316481,2116199.22754
2036,583054.856225,2133239.02181
2037,590040.112716,2143011.24283
2038,600332.773915,2161555.79078
2039,607337.994619,2174170.32711
2040,617924.943114,2192820.8752
