year,Base case cost,Modeled non-residential ashp
2017,50474.8180001,73340.9596976
2018,53615.852229,73369.5611056
2019,57948.3132343,74061.2468091
2020,59897.9206867,73539.7427549
2021,61305.9705134,72770.2873395
2022,62389.0857647,71865.6918731
2023,63147.2664407,70825.1279214
2024,63688.8240663,69704.6160848
2025,64447.0047423,68730.6856676
2026,65313.4969433,67845.7352771
2027,66071.6776192,66935.3516543
2028,66613.2352449,65941.9690537
2029,67479.727446,65149.0181983
2030,68021.2850716,64214.8181504
2031,68887.7772727,63479.6627238
