year,Base case cost,Modeled transmission and interties
2021,903997.847698,1981772.27034
2022,933809.658653,2000010.43887
2023,956464.978931,2010933.72444
2024,973448.336764,2016021.99108
2025,995846.378245,2025859.23094
2026,1021621.57359,2041089.81759
2027,1045483.44271,2054618.69984
2028,1064143.54857,2062844.41425
2029,1090462.87378,2079550.20056
2030,1108818.3852,2086534.98165
2031,1135480.74881,2104162.58248
2032,1162332.37499,2122263.5215
2033,1191486.20281,2141603.66888
2034,1218716.35411,2162081.19263
2035,1242567.87294,2176421.44206
2036,1272980.00108,2197895.90845
2037,1292391.24274,2210707.05866
2038,1323181.89601,2233049.83964
2039,1349236.54936,2252050.8074
2040,1384003.19508,2279156.87152
