year,Base case cost,Modeled non-residential ashp
2017,513421.234357,437481.660296
2018,542619.493964,463573.190888
2019,582767.100923,499449.045452
2020,602232.607328,516843.39918
2021,614398.54883,527714.870261
2022,624131.302033,536412.047125
2023,631430.866934,542934.929773
2024,636297.243536,547283.518205
2025,643596.808437,553806.400853
2026,650896.373339,560329.283501
2027,658195.938241,566852.166149
2028,664278.908992,572287.901689
2029,671578.473894,578810.784337
2030,676444.850495,583159.372769
2031,683744.415397,589682.255417
