year,Base case cost,Modeled residential ashp
2017,1345847.27993,1958343.74832
2018,1471908.38993,2030678.88004
2019,1638769.07892,2129281.46136
2020,1727161.06892,2176459.95654
2021,1776579.54791,2195365.58265
2022,1816359.20689,2207900.13703
2023,1837396.26588,2207923.17024
2024,1858232.68486,2208029.23026
2025,1878868.46385,2208211.66878
2026,1901397.42182,2207587.51014
2027,1926016.61081,2210802.91878
2028,1945899.98979,2211025.66201
2029,1962723.37776,2206955.20994
2030,1970208.90573,2196763.24174
2031,1990564.26371,2195225.92569
