year,Base case cost,Modeled transmission and interties
2021,559551.252595,1505453.95142
2022,584425.152875,1539352.16549
2023,603867.536826,1566922.38366
2024,622249.920946,1591777.59798
2025,642571.468614,1618867.28709
2026,665464.034078,1650796.92312
2027,686745.514162,1680928.74089
2028,708948.32923,1711060.99707
2029,731498.521182,1742970.65211
2030,750815.106097,1769493.3929
2031,777649.612942,1804548.06009
2032,803092.467952,1841871.52393
2033,829848.350399,1876730.80268
2034,857989.451775,1915405.72673
2035,881546.036014,1949731.55294
2036,913155.188084,1990717.27583
2037,935764.705718,2023726.40618
2038,966305.995518,2065700.93976
2039,994670.104276,2105708.62557
2040,1029622.22277,2153268.33477
