year,Base case cost,Modeled transmission and interties
2021,331361.099808,2433386.40001
2022,340357.328762,2442693.76596
2023,347877.561726,2450116.46624
2024,353137.0497,2455557.85502
2025,359147.893099,2462140.68083
2026,368229.275668,2471177.71439
2027,374253.476497,2477410.26382
2028,379524.652222,2482863.74458
2029,387913.118122,2491547.99253
2030,392441.286816,2495867.05518
2031,399988.234639,2504040.7302
2032,409193.173433,2513203.16591
2033,417513.182505,2521810.92473
2034,426773.220697,2531396.07944
2035,432079.459676,2536885.83612
2036,440417.835213,2545512.59662
2037,445724.074192,2550635.02112
2038,455062.587284,2560300.5557
2039,461899.92165,2567374.36111
2040,471776.071291,2577223.93877
