year,Base case cost,Modeled transmission and interties
2021,205449.788613,1686676.20689
2022,209802.728702,1665958.76514
2023,212455.939605,1644932.79571
2024,214926.416859,1623911.0227
2025,217504.084243,1603498.47715
2026,220275.714716,1583740.37889
2027,222747.212829,1564282.38217
2028,225078.853346,1545225.76085
2029,228088.343819,1527152.82648
2030,227964.819957,1507577.48754
2031,230838.536267,1490340.03384
2032,234103.241333,1473860.17453
2033,236839.141764,1457416.14833
2034,240007.886144,1441731.79624
2035,241085.912582,1424892.43257
2036,243609.474472,1409932.9404
2037,245082.573099,1394214.11671
2038,247995.082028,1379975.43512
2039,250363.473446,1365710.69355
2040,253121.83276,1352106.58887
