year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,8421.76,493323.0,493323.0
2004,,8421.76,784948.0,784948.0
2005,,8421.76,1019329.0,1019329.0
2006,,8421.76,1027482.0,1027482.0
2007,,8421.76,630996.0,630996.0
2008,,8421.76,636895.0,636895.0
2009,,8421.76,660462.0,660462.0
2010,,8421.76,654616.0,654616.0
2011,,8421.76,648797.0,648797.0
2012,,8421.76,691483.0,691483.0
2013,,8421.76,734429.0,734429.0
2014,,8421.76,564765.0,564765.0
2015,,8421.76,353852.0,353852.0
2016,start of forecast,8421.76,557000.0,557000.0
2017,,8421.76,554000.0,554000.0
2018,,8421.76,550000.0,550000.0
2019,,8421.76,547000.0,547000.0
2020,,8421.76,544000.0,544000.0
2021,,8421.76,541000.0,541000.0
2022,,8421.76,538000.0,538000.0
2023,,8421.76,535000.0,535000.0
2024,,8421.76,533000.0,533000.0
2025,,8421.76,530000.0,530000.0
2026,,8421.76,525000.0,525000.0
2027,,8421.76,522000.0,522000.0
2028,,8421.76,520000.0,520000.0
2029,,8421.76,516000.0,516000.0
2030,,8421.76,511000.0,511000.0
2031,,8421.76,507000.0,507000.0
2032,,8421.76,504000.0,504000.0
2033,,8421.76,500000.0,500000.0
2034,,8421.76,496000.0,496000.0
2035,,8421.76,492000.0,492000.0
2036,,8421.76,488000.0,488000.0
2037,,8421.76,485000.0,485000.0
2038,,8421.76,482000.0,482000.0
2039,,8421.76,479000.0,479000.0
2040,,8421.76,475000.0,475000.0
