year,Base case cost,Modeled non-residential ashp
2017,39885.8993493,47978.8551325
2018,43093.1993493,51135.5151004
2019,43126.9389345,51142.1850629
2020,45060.5389345,53013.4264824
2021,46510.7389345,54395.3278068
2022,47477.5389345,55287.8368356
2023,48250.9789345,55985.8429777
2024,48831.0589345,56489.2964506
2025,49604.4989345,57191.4024878
2026,50474.6189345,57993.8001509
2027,51151.3789345,58601.5026902
2028,46349.4093119,53732.3621316
2029,47041.0893119,54360.3469656
2030,47473.3893119,54725.850544
2031,48337.9893119,55533.5783941
