year,Base case cost,Modeled non-residential ashp
2017,599963.228373,650603.994006
2018,671771.169269,716236.91222
2019,772492.419269,808344.577109
2020,822787.198842,854252.650526
2021,856495.798842,884643.521783
2022,881215.438842,906763.190298
2023,900538.309738,924203.469872
2024,916331.989738,938129.902428
2025,935839.729311,955785.378821
2026,958492.029311,976073.797684
2027,976613.869311,992196.880661
2028,994139.440207,1008088.48373
2029,1010592.31931,1022394.77209
2030,1021918.46931,1032289.30807
2031,1044570.76931,1052645.90579
