year,Base case cost,Modeled transmission and interties
2021,226461.27101,2367852.7383
2022,232362.541915,2340873.68546
2023,236788.495095,2313047.12711
2024,240476.789411,2285895.28411
2025,244902.74259,2259548.14579
2026,250066.354633,2234721.78987
2027,254492.307812,2209785.53634
2028,258180.602128,2185456.25669
2029,263344.214171,2162672.50292
2030,266294.849624,2138117.02756
2031,271458.461666,2117349.67537
2032,276334.524776,2096171.86303
2033,282229.661304,2075963.62838
2034,288124.797833,2057078.2886
2035,291072.366097,2037009.90661
2036,296967.502625,2018531.82344
2037,300651.962956,1999650.1226
2038,306547.099484,1982258.94541
2039,310968.451881,1965244.81271
2040,317600.480475,1949696.32641
