year,Base case cost,Modeled residential ashp
2017,345789.816634,411704.727749
2018,367813.93455,427214.902478
2019,403505.859972,454004.438879
2020,423438.834493,469811.916048
2021,439173.337486,482723.710327
2022,452849.875125,494228.93357
2023,464375.588987,504234.727355
2024,475249.706406,513806.056137
2025,487053.995542,524090.425196
2026,499819.409201,535118.787339
2027,511922.908816,545702.366877
2028,522496.228287,555190.029149
2029,535715.616467,566672.365813
2030,546526.2408,576397.332949
2031,553389.828774,581523.869407
