year,Base case cost,Modeled non-residential ashp
2017,24220.2974606,55904.0190389
2018,25787.7408476,55906.221713
2019,27911.3738234,56195.1860215
2020,28872.0649315,55938.9101458
2021,29579.9425902,55577.240225
2022,30085.5694892,55134.2386512
2023,30439.5083185,54633.9771178
2024,30742.8844579,54124.9947101
2025,31096.8232872,53655.8394762
2026,31551.8874963,53250.6096611
2027,31905.8263256,52811.1197547
2028,32209.202465,52361.4846429
2029,32613.7039842,51974.74422
2030,32815.9547438,51503.8202349
2031,33271.018953,51168.518678
