year,Base case cost,Modeled transmission and interties
2021,796130.672973,1987809.92216
2022,826605.58756,1994837.71194
2023,850860.385343,1996606.90067
2024,873188.121248,1997038.94243
2025,898827.092346,2000882.09606
2026,929417.515138,2009666.10527
2027,958972.214364,2017733.71982
2028,985013.539041,2023046.01845
2029,1019456.16045,2036256.78259
2030,1040613.41322,2038881.47386
2031,1075092.61222,2053023.65117
2032,1109231.06203,2067243.61282
2033,1144732.50864,2081961.76948
2034,1182544.11934,2101121.6741
2035,1210497.1048,2110664.05689
2036,1247488.60725,2128751.92583
2037,1277116.46168,2140399.61298
2038,1313155.02144,2158313.61377
2039,1346221.17008,2173698.24141
2040,1396459.53844,2203658.61541
