year,Base case cost,Modeled non-residential ashp
2017,187989.228078,219878.108376
2018,205577.582669,236872.987619
2019,227985.583209,258496.06915
2020,241855.208562,272001.951548
2021,253935.305788,283814.02765
2022,270719.602673,300406.880874
2023,280208.150053,309761.41769
2024,289364.02414,318802.425581
2025,305549.813083,334854.203962
2026,316054.409435,345205.645386
2027,326205.305551,355222.530939
2028,342605.121746,371507.480938
2029,353666.932114,382416.136378
2030,369975.884873,398629.367306
2031,381426.693706,409927.02121
