year,Base case cost,Modeled transmission and interties
2021,239247.703743,1629877.36166
2022,247765.280502,1615585.56217
2023,254284.614482,1600316.07525
2024,260166.927324,1584853.22537
2025,266104.300816,1569932.69383
2026,273517.605638,1557077.56956
2027,280289.300934,1543989.53743
2028,286405.621541,1530642.73674
2029,293301.2033,1518575.9153
2030,299116.984523,1505741.54477
2031,306551.70182,1495131.63988
2032,315111.338798,1485391.91914
2033,322345.696505,1475401.73524
2034,330712.621207,1466263.20067
2035,336153.684112,1455805.06207
2036,344642.965815,1448280.58002
2037,351286.95099,1438348.46946
2038,359909.295932,1431679.58789
2039,367071.00417,1423778.52598
2040,375449.39984,1417566.81816
