year,Base case cost,Modeled residential ashp
2017,918914.447346,1081052.96272
2018,1022197.29677,1151098.49956
2019,1162261.39464,1247255.59387
2020,1233868.51899,1294703.82877
2021,1280305.58039,1322405.94756
2022,1320768.34481,1347402.29026
2023,1345647.54775,1359560.63239
2024,1366010.11215,1368534.6312
2025,1395896.60517,1386283.87788
2026,1425707.45264,1402537.68497
2027,1450403.79464,1415147.71426
2028,1471415.0621,1425169.2338
2029,1499512.61264,1440550.9418
2030,1516544.57264,1447886.68696
2031,1546628.92017,1464984.57321
