year,Base case cost,Modeled non-residential ashp
2017,271552.174056,191716.45005
2018,292436.089406,211848.940639
2019,322601.744911,240929.204822
2020,336524.355144,254350.865215
2021,346579.573645,264044.286609
2022,354314.357108,271500.764605
2023,359728.705532,276720.299202
2024,363596.097263,280448.5382
2025,369010.445687,285668.072797
2026,375198.272457,291633.255194
2027,380612.620881,296852.789791
2028,384480.012613,300581.028789
2029,390667.839383,306546.211185
2030,394535.231114,310274.450183
2031,400723.057884,316239.63258
