year,Base case cost,Modeled residential ashp
2017,1251581.0085,1781443.90596
2018,1349174.33109,1862820.02573
2019,1482468.48457,1977021.16625
2020,1549165.69988,2030625.35618
2021,1591587.35805,2061968.94876
2022,1626776.61791,2087172.30062
2023,1651461.47322,2102959.33863
2024,1672675.65307,2115747.39518
2025,1697587.62579,2131782.42247
2026,1718885.73048,2144361.39716
2027,1743775.75852,2160992.62433
2028,1765114.30943,2174222.87891
2029,1790023.0167,2190864.05429
2030,1807982.98565,2201618.66139
2031,1832665.63034,2218011.26217
