year,Base case cost,Modeled non-residential ashp
2017,244699.051068,326374.853331
2018,262303.974204,344155.273237
2019,286228.613338,368750.598419
2020,297062.41219,379310.070387
2021,304736.353045,386500.59517
2022,310604.660757,391776.241468
2023,314667.335326,395136.431101
2024,317827.193325,397550.373282
2025,321438.459609,400472.177374
2026,326403.95075,404871.078744
2027,330015.217035,407837.23001
2028,333626.483319,410824.778406
2029,337689.157889,414318.109351
2030,340397.607602,416377.185426
2031,345363.098743,420880.623735
