year,annotation,consumption,consumption residential,consumption non-residential
2003,,378322.0,154959.0,223363.0
2004,,392482.0,164850.0,227632.0
2005,,326636.0,141650.0,184986.0
2006,,323951.0,144951.0,179000.0
2007,,279371.0,131199.0,148172.0
2008,,277527.0,135731.0,141796.0
2009,,280596.0,142720.0,137876.0
2010,,315503.0,151902.0,163601.0
2011,,334143.0,158075.0,176068.0
2012,,366678.0,167672.0,199006.0
2013,,353633.0,156526.0,197107.0
2014,,346715.0,153552.0,193163.0
2015,,354208.0,152415.0,201793.0
2016,start of forecast,346075.0,148721.0,197354.0
2017,,345990.0,148635.0,197354.0
2018,,345896.0,148541.0,197354.0
2019,,345804.0,148450.0,197354.0
2020,,345703.0,148349.0,197354.0
2021,,345597.0,148242.0,197354.0
2022,,345456.0,148102.0,197354.0
2023,,345295.0,147941.0,197354.0
2024,,345151.0,147797.0,197354.0
2025,,345024.0,147669.0,197354.0
2026,,344926.0,147572.0,197354.0
2027,,344851.0,147497.0,197354.0
2028,,344784.0,147430.0,197354.0
2029,,344710.0,147355.0,197354.0
2030,,344641.0,147286.0,197354.0
2031,,344572.0,147217.0,197354.0
2032,,344531.0,147177.0,197354.0
2033,,344451.0,147096.0,197354.0
2034,,344380.0,147026.0,197354.0
2035,,344340.0,146985.0,197354.0
2036,,344261.0,146906.0,197354.0
2037,,344181.0,146826.0,197354.0
2038,,344093.0,146739.0,197354.0
2039,,344003.0,146649.0,197354.0
2040,,343896.0,146541.0,197354.0
