year,Base case cost,Modeled residential ashp
2017,211340.482181,412771.215837
2018,227640.201508,429772.753206
2019,251184.240536,454330.529406
2020,262050.720087,465664.887652
2021,261091.13521,465043.215166
2022,266931.065224,471143.077788
2023,270435.023233,474802.995362
2024,264697.9766,469221.908294
2025,268083.732767,472763.624026
2026,273162.367016,478076.197622
2027,266893.412094,471963.202265
2028,270160.966418,475386.716154
2029,274517.705517,479951.40134
2030,276696.075066,482233.743933
2031,271410.787175,477182.395388
