year,Base case cost,Modeled non-residential ashp
2017,14302.194385,16617.0311616
2018,15949.5923005,17704.7764975
2019,18340.9763715,19316.1512062
2020,19456.9556046,20034.1755335
2021,20254.0836282,20529.9960994
2022,20838.6441789,20878.1530963
2023,21210.6372566,21078.6116434
2024,21582.6303343,21280.4894986
2025,21954.623412,21483.7533966
2026,22486.0420944,21800.2347178
2027,22911.1770403,22043.4619623
2028,23230.0282498,22213.4041494
2029,23708.305064,22496.4708007
2030,23974.0144052,22631.6166846
2031,24505.4330876,22954.4045452
