year,Base case cost,Modeled residential ashp
2017,21984.5622991,131498.582126
2018,23701.0661219,129818.463622
2019,26085.0992092,128304.172204
2020,27181.7544293,126605.35007
2021,28788.7946479,125735.454917
2022,29378.2465928,124047.986792
2023,29771.2145561,122363.033645
2024,30115.061524,120709.47978
2025,30557.1504827,119116.233056
2026,31048.3604368,117572.387879
2027,31441.3284001,116047.142642
2028,32717.1853522,115481.563528
2029,33172.2373139,114053.589251
2030,33475.6052884,112627.2895
2031,33981.2185791,111281.619208
