year,Base case cost,Modeled non-residential ashp
2017,60038.3390637,60358.3390637
2018,64518.9517466,64838.9517466
2019,70717.923454,71037.923454
2020,73629.3049174,73949.3049174
2021,75662.8658929,75982.8658929
2022,77181.2580881,77501.2580881
2023,78231.9312588,78551.9312588
2024,79086.0268686,79406.0268686
2025,80129.9215028,80449.9215028
2026,81394.1185758,81714.1185758
2027,82441.4024783,82761.4024783
2028,83315.8336978,83635.8336978
2029,91016.0764052,91336.0764052
2030,91793.7342101,92113.7342101
2031,93188.406893,93508.406893
