year,Base case cost,Modeled non-residential ashp
2017,788443.689886,889908.941641
2018,862294.629886,953212.59731
2019,956089.825333,1033385.07589
2020,1007659.43533,1077005.06297
2021,1032169.84078,1095800.43105
2022,1059101.44078,1117688.02994
2023,1066864.04623,1121701.56858
2024,1082896.82623,1134029.20678
2025,1090280.89167,1137751.02598
2026,1111489.69167,1154714.49234
2027,1121083.22712,1160416.09128
2028,1136863.64712,1172657.01312
2029,1146036.58257,1178016.97489
2030,1149739.07801,1178569.57309
2031,1160932.21346,1185712.55091
