year,Base case diesel consumed,Modeled solar power (pv)
2016,61769.3239792,60695.2887046
2017,62128.8660279,61063.4230356
2018,62344.5912572,61287.6718088
2019,62632.2248962,61583.7608034
2020,62919.8585352,61879.7821551
2021,63279.400584,62247.644815
2022,63567.034223,62543.5325001
2023,63854.6678621,62839.3541529
2024,64070.3930913,63063.2018919
2025,64358.0267303,63358.8930605
2026,64861.3855986,63870.2449981
2027,65149.0192376,64165.8077619
2028,65508.5612864,64533.2155025
2029,65868.1033352,64900.5603176
2030,66227.645384,65267.8427105
2031,66659.0958425,65706.9715904
2032,67018.6378913,66074.1306332
2033,67378.17994,66441.22874
2034,67809.6303986,66880.1748081
2035,68169.1724473,67247.1525016
