year,Base case cost,Modeled non-residential ashp
2017,1169855.5861,1335100.57052
2018,1271403.03365,1433726.35131
2019,1401789.89261,1560180.19734
2020,1492496.31362,1648976.29778
2021,1563842.49364,1718974.01623
2022,1632203.83273,1786436.38093
2023,1695652.02141,1849210.33882
2024,1756893.4168,1909889.87522
2025,1822256.60008,1974578.82771
2026,1891991.35316,2043526.9782
2027,1959436.0523,2110297.44655
2028,2024340.91561,2174640.45087
2029,2105357.69571,2254870.62838
2030,2168444.31535,2317507.76083
2031,2255608.89211,2403773.36321
