year,Base case cost,Modeled transmission and interties
2021,1376305.92236,3465993.45947
2022,1421212.25383,3522707.72919
2023,1457089.04836,3567384.57051
2024,1489240.2264,3605825.51097
2025,1526742.1328,3650118.95695
2026,1569214.45334,3702186.24725
2027,1607484.30189,3749807.81945
2028,1641459.52538,3790445.07278
2029,1685654.96183,3844623.31888
2030,1716649.10703,3882313.92646
2031,1766963.21399,3940773.49882
2032,1813019.26458,3997207.96498
2033,1859546.31967,4054218.30844
2034,1911982.87247,4117732.09009
2035,1950862.68649,4164298.71641
2036,2004922.8884,4229778.44441
2037,2044643.78193,4277343.35859
2038,2100377.36635,4344848.52794
2039,2147239.3905,4403009.73168
2040,2209850.8111,4475491.56407
