year,annotation,consumption,consumption residential,consumption non-residential
2003,,799211.0,324861.0,474349.0
2004,,860106.0,385757.0,474349.0
2005,,748164.0,381028.0,367136.0
2006,,757103.0,387064.0,370039.0
2007,,772812.0,401506.0,371306.0
2008,,743748.0,379050.0,364698.0
2009,,779253.0,378576.0,400677.0
2010,,896474.0,391356.0,505118.0
2011,,903695.0,411723.0,491972.0
2012,,947269.0,452890.0,494379.0
2013,,987457.0,504110.0,483347.0
2014,,958879.0,489371.0,469508.0
2015,,998715.0,528522.0,470193.0
2016,start of forecast,979983.0,505633.0,474349.0
2017,,997880.0,523531.0,474349.0
2018,,1014677.0,540328.0,474349.0
2019,,1031631.0,557282.0,474349.0
2020,,1051984.0,577634.0,474349.0
2021,,1068346.0,593996.0,474349.0
2022,,1083260.0,608911.0,474349.0
2023,,1098574.0,624225.0,474349.0
2024,,1113974.0,639624.0,474349.0
2025,,1130225.0,655876.0,474349.0
2026,,1147482.0,673133.0,474349.0
2027,,1169242.0,694892.0,474349.0
2028,,1187367.0,713017.0,474349.0
2029,,1211507.0,737158.0,474349.0
2030,,1229887.0,755538.0,474349.0
2031,,1248542.0,774193.0,474349.0
2032,,1267091.0,792742.0,474349.0
2033,,1285863.0,811514.0,474349.0
2034,,1307262.0,832912.0,474349.0
2035,,1325310.0,850961.0,474349.0
2036,,1344027.0,869678.0,474349.0
2037,,1363558.0,889209.0,474349.0
2038,,1379572.0,905223.0,474349.0
2039,,1399415.0,925066.0,474349.0
2040,,1425832.0,951482.0,474349.0
