year,Base case cost,Modeled non-residential ashp
2017,175509.401888,228862.838414
2018,186867.687301,238694.13827
2019,202256.332054,252313.835733
2020,209217.861823,258069.330805
2021,214347.410074,262128.991224
2022,218011.37311,264835.112419
2023,220576.147235,266529.99956
2024,222774.525057,267898.67804
2025,225339.299183,269626.182535
2026,228636.865915,272054.84606
2027,231201.640041,273813.456888
2028,233400.017863,275244.365532
2029,236331.188292,277375.352388
2030,237796.773506,278149.809619
2031,241094.340239,280651.798242
