year,Base case cost,Modeled transmission and interties
2021,433723.431537,1711916.04832
2022,451866.84917,1701525.67745
2023,466679.145147,1689141.2867
2024,480867.837864,1676744.63039
2025,496525.680936,1665926.14138
2026,515773.907491,1658190.4105
2027,534397.548736,1650287.02282
2028,550798.805455,1641266.18289
2029,572634.740019,1636511.86522
2030,586871.553303,1627732.81611
2031,608216.46168,1623677.55051
2032,629932.585854,1620296.05216
2033,652019.925826,1616506.54751
2034,676305.099014,1616715.94758
2035,694282.549796,1611699.33645
2036,717448.183276,1610886.56836
2037,736916.389563,1607606.00486
2038,759799.19196,1607357.09397
2039,781389.61343,1606335.77425
2040,813625.482648,1612054.43461
