year,Base case cost,Modeled non-residential ashp
2017,731525.317825,980699.567684
2018,786921.316369,1029007.23876
2019,862834.351412,1096572.3692
2020,899765.017108,1127782.13806
2021,924385.460906,1147563.71624
2022,942850.793754,1161668.1403
2023,955161.015653,1170093.63605
2024,965419.533902,1176673.70647
2025,979781.45945,1187159.5129
2026,994143.384999,1197714.16739
2027,1006453.6069,1206418.43857
2028,1018763.8288,1215188.36839
2029,1033125.75434,1225940.03576
2030,1041332.56894,1231001.46674
2031,1057746.19814,1243794.51825
