year,Base case cost,Modeled residential ashp
2017,559874.473534,1126631.2183
2018,605495.405394,1155313.65274
2019,667441.024122,1197329.88791
2020,699694.278286,1215898.42474
2021,718840.147848,1223457.64383
2022,737061.773183,1231230.44309
2023,750597.784464,1235451.18832
2024,762613.946618,1238644.22953
2025,773958.863868,1240698.22839
2026,781231.446836,1238845.37438
2027,795027.995903,1243996.71472
2028,804752.210689,1245233.53619
2029,816097.127939,1247926.55147
2030,826845.574306,1251129.47607
2031,835545.557511,1251156.41365
