year,Base case cost,Modeled non-residential ashp
2017,1108473.63418,1228596.32268
2018,1248826.10361,1351139.35448
2019,1429183.06898,1508645.81078
2020,1523208.85171,1590078.31591
2021,1590851.15936,1648583.37264
2022,1642283.75091,1692066.80565
2023,1674148.29452,1718302.30888
2024,1696332.26429,1735476.13794
2025,1728272.47804,1761323.92154
2026,1765026.51576,1791468.69875
2027,1799547.68429,1820562.57327
2028,1831653.89452,1847289.00585
2029,1836865.76854,1846600.85004
2030,1834751.72528,1840332.05672
2031,1859349.18608,1858552.40102
