year,Base case cost,Modeled transmission and interties
2021,2782911.76436,4561949.26178
2022,2888194.07475,4684265.72335
2023,2967856.03148,4778857.99836
2024,3039703.8625,4865094.82965
2025,3122162.23356,4963017.5827
2026,3215500.03063,5072921.11144
2027,3300503.85574,5173848.82181
2028,3377981.86069,5266805.69769
2029,3475620.33983,5381780.97534
2030,3546319.43014,5467677.3407
2031,3647215.91123,5586511.62852
2032,3760397.49455,5718934.60215
2033,3865024.02188,5842150.9401
2034,3981618.9635,5983983.06924
2035,4070293.08241,6084819.03186
2036,4191421.74063,6232094.78822
2037,4284148.56897,6337652.05921
2038,4410626.56463,6485703.87872
2039,4517544.59814,6612592.80308
2040,4648411.41071,6777301.32434
