year,Base case cost,Modeled non-residential ashp
2017,408251.457238,525620.389138
2018,430982.796614,544717.277399
2019,461582.676544,571225.496682
2020,476445.475367,583062.224181
2021,486936.862771,590858.194606
2022,494805.403324,596247.949253
2023,500051.097027,599230.379561
2024,504422.508445,601440.079423
2025,509668.202147,604511.6681
2026,515788.178133,608444.113152
2027,521033.871835,611600.72988
2028,525405.283254,613980.53367
2029,531525.25924,618036.077694
2030,535022.388375,619677.231784
2031,541142.364361,623810.108368
