year,Base case cost,Modeled residential ashp
2017,1054000.37709,1512084.12156
2018,1140015.76574,1580708.60908
2019,1251290.61637,1672054.60236
2020,1320106.22822,1726674.51788
2021,1377649.76143,1771765.58039
2022,1425821.89602,1808917.00508
2023,1474438.55235,1847326.83384
2024,1521046.90005,1884231.00011
2025,1566056.11904,1919421.02872
2026,1619731.98841,1963158.20995
2027,1671341.02885,2005317.73958
2028,1720691.52005,2045703.61659
2029,1776882.33352,2092490.94386
2030,1824565.29822,2131860.1147
2031,1882368.91413,2180596.46608
