year,Base case cost,Modeled non-residential ashp
2017,856978.849563,955517.482063
2018,939703.00641,1036282.39734
2019,1045790.79348,1139757.86232
2020,1112815.15592,1205535.43468
2021,1180017.79202,1271847.50643
2022,1229191.19444,1320427.19929
2023,1285270.82433,1376031.86153
2024,1338131.12465,1428535.9361
2025,1383713.07091,1473702.28567
2026,1444793.54172,1534248.41787
2027,1504730.43356,1593710.34206
2028,1560965.83808,1649589.52084
2029,1625260.69385,1713350.038
2030,1680738.24559,1768530.73496
2031,1758067.6768,1845325.82756
