year,Base case cost,Modeled transmission and interties
2021,1015853.98686,2701938.54342
2022,1050382.13999,2740311.03573
2023,1080576.87216,2772726.27193
2024,1106340.43705,2800436.63132
2025,1134492.86318,2830675.90093
2026,1169072.85149,2867779.68246
2027,1201954.12693,2903089.86953
2028,1228997.28024,2932163.56114
2029,1265440.37297,2971268.67183
2030,1290962.53403,2998738.12067
2031,1328896.99891,3039448.49987
2032,1367311.30944,3080670.12865
2033,1406205.46563,3122403.00701
2034,1449256.80317,3168581.42936
2035,1480215.73398,3201859.75441
2036,1525016.13855,3249918.00523
2037,1557499.02362,3284836.31328
2038,1603350.94182,3334014.89498
2039,1644391.07441,3378083.07164
2040,1694509.76833,3430196.18105
