year,Base case cost,Modeled transmission and interties
2021,1955657.01043,2768307.61107
2022,2024096.59926,2826460.91124
2023,2067167.80274,2864584.34891
2024,2106031.27638,2896341.08386
2025,2153399.48261,2936846.41646
2026,2209281.34872,2984076.89146
2027,2252476.04639,3022307.47741
2028,2292260.51888,3056887.62324
2029,2344020.9523,3099853.61294
2030,2378825.48428,3129431.42062
2031,2435753.33132,3177558.48895
2032,2496139.01576,3229379.30113
2033,2553205.23581,3279663.61734
2034,2618865.46137,3334700.31208
2035,2659047.19832,3367578.99578
2036,2720603.84576,3422448.42378
2037,2760907.58902,3455429.87138
2038,2826886.22129,3510734.40693
2039,2875861.3399,3554664.35036
2040,2946282.78735,3614512.12039
