year,Base case cost,Modeled residential ashp
2017,92146.3731633,214322.18045
2018,100777.422359,220177.316949
2019,112605.156443,228975.752279
2020,111450.569805,225375.983781
2021,115052.953842,226786.803966
2022,110398.316598,220043.443199
2023,112082.689702,219800.825505
2024,105876.801037,211708.898254
2025,107444.355228,211430.406249
2026,101371.588247,203490.749306
2027,103064.112737,203384.472977
2028,96098.9011317,194687.655789
2029,89102.9012736,185966.473792
2030,90117.1491479,185350.958748
2031,82934.602485,176483.488783
