year,Base case cost,Modeled residential ashp
2017,14396.5340234,77325.5037698
2018,15824.1367189,74166.9133363
2019,17795.5880603,70139.1579821
2020,17935.0065754,66983.9881404
2021,18552.843619,65131.4162857
2022,19040.609706,63524.9021138
2023,18488.6672279,61343.9089761
2024,18737.0267312,60159.4637652
2025,19047.4761102,58874.8569144
2026,19451.0603029,57431.2161336
2027,19761.509682,56179.0289504
2028,19090.154192,54050.2026652
2029,19415.4476954,52754.2538017
2030,20599.7230054,52690.2986835
2031,21003.3071981,51323.0787981
