year,Base case cost,"Galena, alaska heat recovery study"
2019,2652107.14791,2686162.17545
2020,2763605.56027,2794701.3742
2021,2846017.43027,2874551.04341
2022,2904190.51498,2930498.07266
2023,2942972.57146,2967329.37185
2024,2976906.87087,2999407.38485
2025,3015688.92734,3036306.81788
2026,3064166.49793,3082814.63901
2027,3107796.31147,3124566.80658
2028,3141730.61088,3156774.81111
2029,3185360.42441,3198588.94605
2030,3214446.96677,3226069.70853
2031,3262924.53736,3272730.6972
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
