year,Base case cost,Modeled transmission and interties
2021,1860711.83935,4285435.29895
2022,1912730.58138,4310569.89349
2023,1946855.90598,4321050.68676
2024,1977006.32931,4323614.91011
2025,2011463.95596,4331629.45249
2026,2055249.98962,4354944.72146
2027,2094392.02734,4369513.51992
2028,2125665.09271,4376146.98719
2029,2164846.04868,4392077.57217
2030,2191100.90409,4394438.28892
2031,2234620.49737,4420704.90351
2032,2278155.05922,4447596.39512
2033,2325616.62295,4470751.8709
2034,2373489.8221,4503583.95889
2035,2403697.87438,4513231.76382
2036,2451167.67083,4542402.88874
2037,2480945.37699,4552644.47193
2038,2527968.3619,4582365.70698
2039,2562479.87537,4603184.55323
2040,2613793.59819,4642945.90096
