year,Base case cost,Modeled non-residential ashp
2017,2235200.04082,2882926.18307
2018,2409719.29495,3039796.88392
2019,2652107.14791,3261526.0959
2020,2763605.56027,3358807.33683
2021,2846017.43027,3428594.82103
2022,2904190.51498,3475500.75891
2023,2942972.57146,3504137.4757
2024,2976906.87087,3528351.62077
2025,3015688.92734,3557372.84683
2026,3064166.49793,3595813.80739
2027,3107796.31147,3629818.83615
2028,3141730.61088,3654766.58074
2029,3185360.42441,3689121.31861
2030,3214446.96677,3709793.46998
2031,3262924.53736,3749098.82255
