year,Base case cost,Modeled residential ashp
2017,1038181.74006,1505899.24793
2018,1109366.31724,1553116.39788
2019,1200358.15434,1614899.29893
2020,1251781.32848,1647764.28534
2021,1285459.14346,1665854.31021
2022,1320734.2985,1686862.08686
2023,1346542.32796,1700814.306
2024,1365990.07127,1708619.86693
2025,1394637.50647,1725285.53763
2026,1426353.41699,1744675.21193
2027,1455636.47265,1762379.19112
2028,1482694.4612,1778600.60005
2029,1505757.87572,1790468.9714
2030,1530531.19214,1805328.94396
2031,1563581.64871,1827002.39681
