year,Base case cost,Modeled transmission and interties
2021,160300.608519,174483.293407
2022,164096.433493,176512.351076
2023,166724.312321,177865.056189
2024,168205.657349,178734.544975
2025,170824.776582,180307.44042
2026,173443.895814,181612.049351
2027,176054.25545,182955.73643
2028,177486.936055,184022.118961
2029,180377.602766,185584.493366
2030,182112.002793,186477.27874
2031,184667.858275,187971.266387
2032,187836.885484,189528.380273
2033,190360.622448,191005.083354
2034,193518.943484,192778.630058
2035,194865.974706,193795.413401
2036,198299.736374,195562.948081
2037,200302.764015,196667.657257
2038,203450.378878,198435.191938
2039,205324.932442,199427.175687
2040,208747.014649,201629.07901
