year,Base case cost,Modeled transmission and interties
2021,280001.796601,795376.656604
2022,289306.992258,795463.524309
2023,295228.480404,792327.03651
2024,301149.96855,789395.669673
2025,307071.456695,786664.6168
2026,314684.798597,785845.883453
2027,321452.21362,784359.834162
2028,327373.701766,782201.991239
2029,334770.384429,781693.02549
2030,339855.504193,779045.890153
2031,347483.183838,779152.399448
2032,355958.383444,779894.717151
2033,363586.063089,780730.424996
2034,372908.782656,782660.217362
2035,377993.902419,781235.857631
2036,387316.621985,783477.985906
2037,392401.741749,781964.811242
2038,400876.941355,784038.6704
2039,407657.101039,784536.314441
2040,417827.340566,788220.344468
